Employee_ID,Department,Role_Level,Tenure_Years,Work_Mode,Weekly_Hours,Manager_Support,Recognition,Career_Growth,Work_Life_Balance,Psychological_Safety,Compensation_Satisfaction,Engagement_Score,Satisfaction_Score,Burnout_Score,Absence_Days_Last_12M,Intent_to_Stay,Burnout_Risk,Engagement_Level
EMP1001,Sales,Manager,4.0,Remote,44.8,3,3,3,5,2,5,3.78,2.79,1.75,2,4.53,Low,High
EMP1002,Operations,Individual Contributor,1.0,Hybrid,53.9,3,4,5,1,1,3,2.4,3.03,4.27,7,2.54,High,Low
EMP1003,HR,Individual Contributor,5.2,Remote,50.7,2,1,3,2,5,1,2.76,2.76,2.72,7,3.38,Moderate,Moderate
EMP1004,Customer Success,Manager,7.3,Hybrid,52.5,1,5,4,4,4,4,3.09,3.56,3.51,7,3.1,High,Moderate
EMP1005,Engineering,Manager,3.4,Remote,35.4,1,4,3,1,3,5,2.35,2.88,2.65,5,4.03,Moderate,Low
EMP1006,Engineering,Individual Contributor,4.8,Remote,55.8,4,2,5,3,4,4,3.85,3.59,2.67,6,4.61,Moderate,High
EMP1007,Engineering,Senior Manager,4.1,On-site,39.7,4,2,1,1,4,1,2.5,2.09,3.55,4,2.67,High,Low
EMP1008,IT,Manager,1.4,Remote,46.3,2,2,5,4,5,5,3.44,3.19,2.6,4,3.67,Moderate,Moderate
EMP1009,Finance,Senior Manager,7.1,Hybrid,44.0,5,4,1,5,2,4,2.14,3.31,1.92,1,3.57,Low,Low
EMP1010,HR,Manager,3.4,Remote,38.9,1,4,2,5,3,4,2.54,2.79,2.61,2,3.27,Moderate,Low
EMP1011,Engineering,Individual Contributor,5.7,Hybrid,35.1,4,4,5,4,2,5,4.01,4.41,1.21,2,4.31,Low,High
EMP1012,Operations,Individual Contributor,6.7,Hybrid,32.8,1,1,5,2,4,1,2.71,2.03,3.03,2,3.48,Moderate,Moderate
EMP1013,IT,Senior Manager,2.3,Hybrid,45.8,2,1,4,2,1,4,2.22,2.3,3.24,2,2.7,Moderate,Low
EMP1014,Engineering,Manager,2.5,Remote,34.3,2,2,3,5,4,3,2.86,3.01,2.05,2,4.59,Low,Moderate
EMP1015,Engineering,Individual Contributor,2.8,Remote,37.1,5,3,1,5,2,5,4.45,3.38,1.0,3,5.0,Low,High
EMP1016,Engineering,Individual Contributor,8.0,Remote,43.5,5,2,1,4,4,2,2.95,3.13,1.88,5,2.74,Low,Moderate
EMP1017,Sales,Individual Contributor,1.6,Remote,30.0,2,5,4,2,1,2,2.94,2.75,2.45,5,2.96,Moderate,Moderate
EMP1018,Customer Success,Manager,8.9,Hybrid,50.5,4,1,4,5,5,1,2.88,3.67,2.84,5,2.73,Moderate,Moderate
EMP1019,Sales,Director,4.1,On-site,30.0,1,4,3,2,2,3,1.91,2.68,2.84,1,2.36,Moderate,Low
EMP1020,Engineering,Individual Contributor,4.3,On-site,44.5,3,1,3,5,4,4,3.55,3.66,1.95,6,3.55,Low,Moderate
EMP1021,Finance,Individual Contributor,6.5,Hybrid,45.1,5,4,5,1,2,2,3.85,3.07,3.21,4,3.88,Moderate,High
EMP1022,Engineering,Individual Contributor,3.8,Hybrid,48.8,3,5,2,3,5,1,3.08,2.74,3.43,6,3.11,High,Moderate
EMP1023,Engineering,Director,7.2,Hybrid,44.7,4,5,3,1,4,3,2.61,2.85,2.82,7,3.64,Moderate,Low
EMP1024,Sales,Manager,2.3,Remote,59.1,5,1,4,5,4,3,3.68,3.46,2.56,7,4.04,Moderate,Moderate
EMP1025,Sales,Manager,8.8,On-site,46.5,3,4,3,3,2,1,2.83,2.68,1.87,4,3.56,Low,Moderate
EMP1026,Marketing,Individual Contributor,2.5,Hybrid,52.4,4,5,1,3,2,1,2.8,2.27,2.96,6,4.04,Moderate,Moderate
EMP1027,Engineering,Individual Contributor,9.0,Hybrid,39.9,1,2,2,5,1,4,2.01,3.21,1.49,3,3.75,Low,Low
EMP1028,Customer Success,Individual Contributor,2.5,Remote,45.8,4,2,5,5,5,1,3.75,3.62,1.95,5,4.32,Low,High
EMP1029,Customer Success,Individual Contributor,2.8,Hybrid,55.8,5,4,1,2,1,4,2.52,3.54,4.05,7,2.7,High,Low
EMP1030,Engineering,Manager,1.5,Hybrid,43.3,2,1,1,5,4,4,2.18,3.11,1.05,5,3.31,Low,Low
EMP1031,Finance,Manager,1.9,On-site,46.3,1,5,2,4,2,5,3.24,2.81,3.6,6,3.63,High,Moderate
EMP1032,Engineering,Director,3.4,Hybrid,51.9,3,1,5,5,4,3,3.54,3.58,2.39,6,4.42,Low,Moderate
EMP1033,Engineering,Director,4.2,Hybrid,39.8,5,2,4,4,4,3,3.71,3.09,1.87,3,4.89,Low,High
EMP1034,Operations,Individual Contributor,6.8,On-site,30.0,2,5,5,5,3,3,3.51,3.84,1.31,6,4.78,Low,Moderate
EMP1035,Operations,Manager,3.0,Remote,46.8,4,1,3,2,3,5,2.92,2.91,1.99,3,3.57,Low,Moderate
